Churn,customer.tenure,account.Charges.Monthly,account.Contract,customer.SeniorCitizen,internet.InternetService,account.PaymentMethod
,4,70.5,Month-to-month,0,Fiber optic,Electronic check
No,44,20.0,One year,0,No,Bank transfer (automatic)
No,30,19.7,Two year,0,No,Mailed check
Yes,12,43.65,Month-to-month,1,DSL,Electronic check
No,39,53.85,Two year,0,DSL,Credit card (automatic)
No,15,19.65,One year,0,No,Mailed check
Yes,4,88.85,Month-to-month,1,Fiber optic,Electronic check
No,70,44.05,One year,1,DSL,Credit card (automatic)
Yes,1,79.9,Month-to-month,0,Fiber optic,Electronic check
,28,91.0,Month-to-month,0,Fiber optic,Electronic check
No,72,110.6,Two year,0,Fiber optic,Credit card (automatic)
No,72,20.7,Two year,0,No,Mailed check
No,35,21.1,One year,0,No,Mailed check
No,68,107.15,One year,1,Fiber optic,Credit card (automatic)
No,71,84.8,Two year,0,Fiber optic,Electronic check
No,70,24.7,Two year,0,No,Bank transfer (automatic)
No,29,55.35,One year,0,DSL,Credit card (automatic)
No,66,19.35,Two year,0,No,Bank transfer (automatic)
No,20,89.95,Month-to-month,1,Fiber optic,Electronic check
No,55,69.05,Two year,0,Fiber optic,Credit card (automatic)
No,9,70.05,Month-to-month,0,DSL,Mailed check
Yes,2,78.55,Month-to-month,1,Fiber optic,Electronic check
No,72,97.85,Two year,0,Fiber optic,Electronic check
No,49,20.45,Two year,0,No,Credit card (automatic)
No,24,89.55,Month-to-month,0,Fiber optic,Electronic check
No,42,79.35,Month-to-month,1,Fiber optic,Bank transfer (automatic)
Yes,21,106.1,Month-to-month,0,Fiber optic,Electronic check
No,52,80.85,One year,1,DSL,Electronic check
No,18,50.3,Month-to-month,0,DSL,Electronic check
,58,20.3,Two year,0,No,Credit card (automatic)
No,12,84.6,Month-to-month,0,Fiber optic,Electronic check
No,72,108.4,Two year,0,Fiber optic,Credit card (automatic)
Yes,3,75.5,Month-to-month,0,Fiber optic,Electronic check
No,52,110.75,Month-to-month,1,Fiber optic,Electronic check
Yes,46,30.3,Month-to-month,0,DSL,Bank transfer (automatic)
Yes,53,98.4,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,15,55.0,Month-to-month,1,DSL,Credit card (automatic)
No,70,99.35,Two year,0,Fiber optic,Credit card (automatic)
No,18,20.1,Two year,0,No,Mailed check
No,7,25.05,Month-to-month,0,DSL,Bank transfer (automatic)
No,54,24.75,One year,0,No,Bank transfer (automatic)
Yes,1,24.25,Month-to-month,0,DSL,Electronic check
No,68,86.45,One year,0,Fiber optic,Credit card (automatic)
No,72,101.35,One year,0,Fiber optic,Electronic check
No,55,55.25,Two year,0,DSL,Credit card (automatic)
No,9,24.95,Month-to-month,0,DSL,Electronic check
No,4,20.05,Month-to-month,0,No,Mailed check
No,18,46.4,One year,0,DSL,Credit card (automatic)
No,41,68.5,One year,0,DSL,Bank transfer (automatic)
Yes,10,86.05,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,63,103.4,Month-to-month,0,Fiber optic,Electronic check
No,6,19.55,Month-to-month,0,No,Mailed check
No,14,19.35,One year,0,No,Mailed check
No,61,94.15,Month-to-month,0,Fiber optic,Credit card (automatic)
No,13,80.0,Month-to-month,0,Fiber optic,Credit card (automatic)
No,64,102.45,One year,0,Fiber optic,Credit card (automatic)
Yes,1,20.05,Month-to-month,0,No,Bank transfer (automatic)
No,72,115.6,Two year,0,Fiber optic,Bank transfer (automatic)
No,27,71.6,Month-to-month,0,DSL,Bank transfer (automatic)
No,22,59.75,One year,0,DSL,Bank transfer (automatic)
No,11,60.9,Month-to-month,0,DSL,Electronic check
No,4,19.55,Two year,0,No,Credit card (automatic)
No,7,48.8,Month-to-month,0,DSL,Electronic check
No,6,78.65,Month-to-month,0,DSL,Credit card (automatic)
No,50,98.25,One year,0,Fiber optic,Electronic check
No,11,59.65,Month-to-month,0,DSL,Bank transfer (automatic)
No,54,99.1,One year,1,Fiber optic,Electronic check
No,23,30.35,Month-to-month,0,DSL,Bank transfer (automatic)
No,67,109.7,One year,0,Fiber optic,Credit card (automatic)
Yes,1,70.3,Month-to-month,1,Fiber optic,Electronic check
,5,90.35,Month-to-month,0,Fiber optic,Mailed check
No,46,94.15,One year,0,Fiber optic,Electronic check
No,0,56.05,Two year,0,DSL,Credit card (automatic)
No,48,24.35,One year,0,No,Bank transfer (automatic)
No,40,55.8,One year,1,DSL,Electronic check
Yes,11,66.35,Month-to-month,0,DSL,Electronic check
Yes,4,94.3,Month-to-month,1,Fiber optic,Electronic check
No,30,48.8,Month-to-month,0,DSL,Mailed check
No,15,91.0,Month-to-month,0,Fiber optic,Electronic check
Yes,7,20.05,Month-to-month,0,No,Mailed check
No,16,80.55,Month-to-month,0,Fiber optic,Mailed check
No,9,20.45,Month-to-month,0,No,Credit card (automatic)
No,7,18.95,Month-to-month,0,No,Mailed check
Yes,3,91.05,Month-to-month,1,Fiber optic,Electronic check
No,20,76.0,One year,0,DSL,Bank transfer (automatic)
No,11,72.9,Month-to-month,0,Fiber optic,Electronic check
No,1,95.85,Month-to-month,0,Fiber optic,Electronic check
No,44,85.15,Month-to-month,1,Fiber optic,Electronic check
No,43,29.3,Month-to-month,0,DSL,Credit card (automatic)
,22,69.5,One year,0,DSL,Bank transfer (automatic)
No,24,20.75,Two year,0,No,Mailed check
Yes,21,74.05,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,7,35.3,One year,0,DSL,Mailed check
No,57,19.75,Two year,0,No,Bank transfer (automatic)
No,11,69.35,Month-to-month,0,DSL,Electronic check
Yes,3,105.9,Month-to-month,1,Fiber optic,Electronic check
No,57,107.95,Two year,0,Fiber optic,Electronic check
No,23,20.0,One year,0,No,Credit card (automatic)
No,18,61.5,One year,0,DSL,Mailed check
No,70,20.05,Two year,0,No,Credit card (automatic)
No,33,20.1,One year,0,No,Mailed check
No,1,49.9,Month-to-month,0,DSL,Electronic check
No,3,19.1,Two year,0,No,Mailed check
No,54,110.45,Two year,1,Fiber optic,Electronic check
No,7,71.35,Month-to-month,0,DSL,Credit card (automatic)
No,70,84.6,Two year,0,Fiber optic,Bank transfer (automatic)
Yes,1,89.3,Month-to-month,1,Fiber optic,Electronic check
No,30,105.7,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,32,79.25,One year,0,Fiber optic,Electronic check
No,1,19.0,Month-to-month,0,No,Mailed check
,57,86.9,One year,0,Fiber optic,Electronic check
No,56,98.7,Month-to-month,0,Fiber optic,Electronic check
Yes,11,74.55,Month-to-month,0,Fiber optic,Electronic check
No,52,109.3,Two year,0,Fiber optic,Electronic check
,65,82.5,Two year,0,DSL,Bank transfer (automatic)
No,12,19.7,One year,0,No,Mailed check
No,29,35.6,One year,0,DSL,Mailed check
No,33,82.1,Two year,0,DSL,Credit card (automatic)
No,22,19.05,Month-to-month,0,No,Bank transfer (automatic)
Yes,29,30.6,Month-to-month,0,DSL,Electronic check
No,10,67.8,Month-to-month,0,DSL,Credit card (automatic)
No,26,19.2,One year,0,No,Mailed check
No,13,29.15,Month-to-month,0,DSL,Electronic check
No,66,103.15,One year,0,Fiber optic,Bank transfer (automatic)
Yes,70,115.65,One year,0,Fiber optic,Credit card (automatic)
Yes,1,69.15,Month-to-month,0,Fiber optic,Electronic check
Yes,57,95.25,Two year,0,Fiber optic,Electronic check
No,58,105.2,One year,0,Fiber optic,Credit card (automatic)
Yes,1,80.0,Month-to-month,0,Fiber optic,Electronic check
Yes,3,19.8,Month-to-month,0,No,Mailed check
Yes,10,98.5,Month-to-month,0,Fiber optic,Electronic check
Yes,56,73.85,Month-to-month,0,Fiber optic,Electronic check
No,22,89.1,Month-to-month,0,Fiber optic,Credit card (automatic)
No,72,106.1,Two year,0,Fiber optic,Credit card (automatic)
No,1,75.1,Month-to-month,0,Fiber optic,Electronic check
No,39,51.05,Month-to-month,0,DSL,Credit card (automatic)
No,1,49.9,Month-to-month,0,DSL,Mailed check
Yes,1,89.1,Month-to-month,0,Fiber optic,Electronic check
No,52,91.6,Two year,0,Fiber optic,Credit card (automatic)
Yes,10,98.5,Month-to-month,0,Fiber optic,Electronic check
No,4,49.25,Month-to-month,0,DSL,Mailed check
No,70,59.5,Two year,0,DSL,Bank transfer (automatic)
No,60,19.95,Two year,0,No,Mailed check
No,8,64.4,Month-to-month,1,DSL,Credit card (automatic)
Yes,10,102.1,Month-to-month,0,Fiber optic,Credit card (automatic)
No,3,19.65,Month-to-month,0,No,Mailed check
No,64,24.4,Two year,1,No,Bank transfer (automatic)
No,66,105.2,Month-to-month,0,Fiber optic,Electronic check
No,49,93.65,One year,0,Fiber optic,Electronic check
No,1,49.95,Month-to-month,0,DSL,Electronic check
No,36,94.7,Month-to-month,0,Fiber optic,Electronic check
No,58,68.4,One year,0,DSL,Electronic check
No,7,74.9,Month-to-month,0,Fiber optic,Electronic check
No,1,43.8,Month-to-month,0,DSL,Electronic check
No,72,116.05,Two year,1,Fiber optic,Bank transfer (automatic)
No,35,81.6,One year,1,Fiber optic,Bank transfer (automatic)
Yes,28,94.5,Month-to-month,0,Fiber optic,Credit card (automatic)
No,30,100.4,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,52,93.25,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,72,116.85,Two year,0,Fiber optic,Bank transfer (automatic)
No,31,20.65,Month-to-month,0,No,Electronic check
No,70,78.35,One year,0,DSL,Bank transfer (automatic)
No,53,85.7,Month-to-month,0,DSL,Electronic check
Yes,1,20.2,Month-to-month,0,No,Bank transfer (automatic)
No,10,20.15,Two year,0,No,Mailed check
Yes,1,25.7,Month-to-month,1,DSL,Mailed check
No,29,19.85,Month-to-month,0,No,Mailed check
No,59,86.75,Two year,0,DSL,Electronic check
Yes,2,45.85,Month-to-month,0,DSL,Mailed check
Yes,58,106.45,One year,0,Fiber optic,Electronic check
No,45,73.85,Two year,0,DSL,Credit card (automatic)
No,12,81.45,Month-to-month,0,Fiber optic,Electronic check
Yes,12,89.4,Month-to-month,0,Fiber optic,Electronic check
No,33,44.55,Month-to-month,0,DSL,Credit card (automatic)
Yes,9,74.65,Month-to-month,0,DSL,Electronic check
Yes,7,89.75,Month-to-month,0,Fiber optic,Electronic check
No,66,63.3,Two year,0,DSL,Bank transfer (automatic)
Yes,52,96.25,Two year,0,Fiber optic,Bank transfer (automatic)
No,49,40.65,Month-to-month,0,DSL,Bank transfer (automatic)
No,61,49.7,One year,0,DSL,Bank transfer (automatic)
No,24,25.15,Two year,0,No,Credit card (automatic)
No,1,49.9,Month-to-month,0,DSL,Electronic check
No,17,62.1,One year,0,DSL,Mailed check
No,12,20.4,Month-to-month,0,No,Mailed check
Yes,1,62.05,Month-to-month,0,DSL,Mailed check
No,61,98.3,One year,1,Fiber optic,Mailed check
No,27,69.35,One year,0,DSL,Credit card (automatic)
No,48,99.7,One year,0,Fiber optic,Bank transfer (automatic)
No,71,99.0,Two year,0,Fiber optic,Electronic check
No,4,58.5,Month-to-month,0,DSL,Mailed check
No,61,106.2,Month-to-month,0,Fiber optic,Electronic check
No,31,104.35,Month-to-month,0,Fiber optic,Electronic check
Yes,32,84.15,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,30,106.4,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,55,20.0,Month-to-month,0,No,Credit card (automatic)
No,42,20.35,Month-to-month,0,No,Credit card (automatic)
Yes,70,114.2,Two year,0,Fiber optic,Bank transfer (automatic)
No,71,23.9,Two year,0,No,Credit card (automatic)
No,43,115.05,Two year,0,Fiber optic,Credit card (automatic)
No,19,25.15,Month-to-month,0,DSL,Bank transfer (automatic)
No,19,19.8,One year,0,No,Mailed check
No,12,19.7,Month-to-month,0,No,Mailed check
No,4,63.75,Month-to-month,0,DSL,Bank transfer (automatic)
Yes,13,82.0,Month-to-month,1,Fiber optic,Electronic check
Yes,4,84.05,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,8,94.0,Month-to-month,0,Fiber optic,Electronic check
No,70,90.05,Two year,1,DSL,Credit card (automatic)
No,68,92.2,Two year,0,DSL,Credit card (automatic)
Yes,5,78.75,Month-to-month,0,Fiber optic,Electronic check
Yes,12,99.95,Month-to-month,0,Fiber optic,Mailed check
No,57,97.55,One year,0,Fiber optic,Credit card (automatic)
No,51,19.95,Two year,0,No,Mailed check
No,4,55.2,Month-to-month,0,DSL,Electronic check
No,70,105.35,Two year,1,Fiber optic,Credit card (automatic)
Yes,30,19.65,Month-to-month,0,No,Bank transfer (automatic)
Yes,7,90.45,Month-to-month,0,Fiber optic,Electronic check
No,19,87.3,Month-to-month,1,Fiber optic,Electronic check
Yes,1,60.1,Month-to-month,0,DSL,Mailed check
Yes,12,112.95,Month-to-month,0,Fiber optic,Mailed check
Yes,17,51.5,Month-to-month,0,DSL,Mailed check
Yes,66,99.5,Month-to-month,1,Fiber optic,Credit card (automatic)
Yes,3,45.35,Month-to-month,0,DSL,Electronic check
No,51,93.65,One year,1,Fiber optic,Bank transfer (automatic)
Yes,51,80.0,Month-to-month,0,Fiber optic,Credit card (automatic)
No,71,19.85,Two year,0,No,Credit card (automatic)
Yes,35,75.35,Month-to-month,0,Fiber optic,Credit card (automatic)
No,11,51.1,Month-to-month,0,DSL,Electronic check
Yes,2,76.4,Month-to-month,0,DSL,Electronic check
Yes,26,95.0,Month-to-month,1,Fiber optic,Electronic check
No,60,23.95,One year,0,No,Credit card (automatic)
No,62,81.45,One year,0,Fiber optic,Credit card (automatic)
No,12,45.0,Month-to-month,0,DSL,Bank transfer (automatic)
Yes,4,75.35,Month-to-month,0,Fiber optic,Electronic check
No,45,93.9,Month-to-month,1,Fiber optic,Bank transfer (automatic)
Yes,1,45.15,Month-to-month,0,DSL,Electronic check
No,8,20.7,Month-to-month,0,No,Mailed check
Yes,2,75.9,Month-to-month,0,Fiber optic,Electronic check
No,68,24.95,Two year,0,No,Credit card (automatic)
No,36,106.05,Two year,0,Fiber optic,Credit card (automatic)
No,1,19.55,Month-to-month,0,No,Mailed check
Yes,42,33.55,One year,0,DSL,Mailed check
Yes,5,89.8,Month-to-month,1,Fiber optic,Electronic check
Yes,10,84.7,Month-to-month,0,Fiber optic,Mailed check
Yes,68,83.0,One year,0,Fiber optic,Electronic check
Yes,20,94.55,Month-to-month,1,Fiber optic,Electronic check
No,29,19.4,Two year,0,No,Mailed check
No,1,85.0,Month-to-month,0,Fiber optic,Electronic check
No,14,50.1,Month-to-month,0,DSL,Bank transfer (automatic)
No,5,44.05,Month-to-month,0,DSL,Credit card (automatic)
No,19,20.5,Two year,0,No,Mailed check
No,71,25.45,Two year,1,No,Credit card (automatic)
No,4,50.95,Month-to-month,1,DSL,Credit card (automatic)
No,1,70.25,Month-to-month,0,Fiber optic,Electronic check
No,6,20.2,Month-to-month,0,No,Mailed check
No,32,100.4,Month-to-month,1,Fiber optic,Electronic check
No,68,91.7,Two year,0,DSL,Electronic check
Yes,33,93.8,One year,0,Fiber optic,Electronic check
,72,19.4,Two year,0,No,Credit card (automatic)
No,63,109.85,Month-to-month,0,Fiber optic,Credit card (automatic)
No,53,19.9,Two year,0,No,Credit card (automatic)
Yes,18,95.45,Month-to-month,1,Fiber optic,Electronic check
No,6,74.1,Month-to-month,1,Fiber optic,Electronic check
No,59,88.75,Month-to-month,1,Fiber optic,Credit card (automatic)
Yes,1,49.65,Month-to-month,0,DSL,Mailed check
No,48,70.95,One year,0,DSL,Bank transfer (automatic)
No,1,19.2,Month-to-month,0,No,Mailed check
No,37,100.05,Month-to-month,0,Fiber optic,Electronic check
No,27,49.0,Month-to-month,0,DSL,Mailed check
Yes,14,89.65,Month-to-month,0,Fiber optic,Credit card (automatic)
,55,19.5,One year,0,No,Mailed check
No,72,75.1,Two year,0,DSL,Bank transfer (automatic)
Yes,3,79.4,Month-to-month,0,Fiber optic,Electronic check
No,70,108.15,One year,0,Fiber optic,Credit card (automatic)
No,12,19.8,One year,0,No,Bank transfer (automatic)
No,23,20.45,One year,0,No,Mailed check
No,23,69.5,Month-to-month,0,DSL,Credit card (automatic)
No,40,93.4,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,11,45.2,Month-to-month,0,DSL,Credit card (automatic)
No,42,19.8,One year,0,No,Bank transfer (automatic)
Yes,34,78.3,Month-to-month,0,Fiber optic,Electronic check
No,12,76.6,Month-to-month,0,Fiber optic,Electronic check
No,71,95.65,One year,0,Fiber optic,Mailed check
No,39,25.25,One year,0,DSL,Credit card (automatic)
No,58,66.8,Month-to-month,0,DSL,Bank transfer (automatic)
No,61,19.1,One year,0,No,Credit card (automatic)
No,19,66.4,Month-to-month,1,DSL,Bank transfer (automatic)
No,61,107.75,One year,0,Fiber optic,Electronic check
Yes,12,59.8,One year,0,DSL,Electronic check
No,16,19.7,Two year,0,No,Mailed check
No,60,61.4,Two year,0,DSL,Electronic check
No,52,61.35,Month-to-month,0,DSL,Bank transfer (automatic)
No,17,69.0,Month-to-month,0,DSL,Mailed check
Yes,9,80.85,Month-to-month,1,Fiber optic,Electronic check
No,63,24.2,Two year,0,No,Mailed check
No,46,91.3,One year,1,Fiber optic,Bank transfer (automatic)
No,42,54.75,One year,0,DSL,Electronic check
No,47,19.75,Two year,0,No,Mailed check
No,51,90.35,One year,0,Fiber optic,Credit card (automatic)
No,45,54.65,Two year,0,DSL,Bank transfer (automatic)
No,53,20.2,One year,0,No,Credit card (automatic)
Yes,42,101.75,Month-to-month,0,Fiber optic,Electronic check
Yes,5,89.5,Month-to-month,1,Fiber optic,Electronic check
No,1,19.3,Month-to-month,0,No,Mailed check
Yes,54,109.75,Two year,0,Fiber optic,Bank transfer (automatic)
Yes,1,19.45,Month-to-month,0,No,Mailed check
No,2,44.45,Month-to-month,0,DSL,Electronic check
No,64,94.25,Month-to-month,1,Fiber optic,Electronic check
No,10,40.25,One year,0,DSL,Mailed check
No,34,50.2,Month-to-month,0,DSL,Bank transfer (automatic)
No,32,79.5,Month-to-month,1,Fiber optic,Electronic check
Yes,4,93.5,Month-to-month,0,Fiber optic,Electronic check
No,54,94.75,One year,0,Fiber optic,Bank transfer (automatic)
Yes,47,70.55,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,11,25.0,Two year,0,No,Mailed check
No,8,19.35,Month-to-month,0,No,Mailed check
,56,94.45,Month-to-month,0,Fiber optic,Electronic check
Yes,1,35.25,Month-to-month,0,DSL,Bank transfer (automatic)
No,56,115.85,Two year,0,Fiber optic,Mailed check
No,34,24.7,Month-to-month,0,No,Electronic check
No,1,75.35,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,9,55.35,Month-to-month,0,DSL,Electronic check
No,46,98.85,Month-to-month,1,Fiber optic,Electronic check
No,60,59.8,One year,0,DSL,Mailed check
No,22,89.75,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,39,19.9,One year,0,No,Mailed check
No,2,20.3,Month-to-month,0,No,Mailed check
No,35,20.05,One year,0,No,Bank transfer (automatic)
No,25,20.8,Month-to-month,0,No,Mailed check
Yes,1,79.55,Month-to-month,0,Fiber optic,Electronic check
No,18,20.35,One year,1,No,Bank transfer (automatic)
No,3,50.5,Month-to-month,0,DSL,Mailed check
No,66,19.95,Two year,0,No,Credit card (automatic)
No,29,84.9,Month-to-month,0,Fiber optic,Electronic check
,34,69.15,Month-to-month,1,Fiber optic,Credit card (automatic)
No,66,25.1,Two year,0,No,Mailed check
No,8,45.45,Month-to-month,0,DSL,Electronic check
No,45,70.05,Month-to-month,1,DSL,Electronic check
Yes,1,25.2,Month-to-month,1,DSL,Electronic check
No,18,71.1,Month-to-month,0,Fiber optic,Electronic check
Yes,29,95.9,Month-to-month,1,Fiber optic,Electronic check
No,72,89.85,Two year,0,DSL,Credit card (automatic)
No,34,20.1,One year,0,No,Bank transfer (automatic)
No,2,24.3,Month-to-month,0,DSL,Mailed check
No,72,114.65,Two year,1,Fiber optic,Bank transfer (automatic)
No,10,20.55,Month-to-month,0,No,Mailed check
No,51,106.8,One year,0,Fiber optic,Bank transfer (automatic)
No,28,85.45,Month-to-month,0,Fiber optic,Electronic check
No,13,20.4,Two year,0,No,Mailed check
No,2,61.2,Month-to-month,0,DSL,Credit card (automatic)
Yes,17,89.15,Month-to-month,1,Fiber optic,Electronic check
Yes,1,48.6,Month-to-month,0,DSL,Credit card (automatic)
No,15,59.65,Month-to-month,0,DSL,Bank transfer (automatic)
No,2,19.95,Month-to-month,0,No,Mailed check
No,12,54.3,Month-to-month,0,DSL,Electronic check
Yes,5,46.0,Month-to-month,0,DSL,Mailed check
No,51,96.4,One year,0,Fiber optic,Credit card (automatic)
No,30,67.6,Month-to-month,0,DSL,Electronic check
No,64,19.8,One year,0,No,Bank transfer (automatic)
No,72,80.45,Two year,0,Fiber optic,Bank transfer (automatic)
No,5,25.45,Month-to-month,0,No,Mailed check
No,72,48.9,Two year,0,DSL,Mailed check
No,1,29.15,Month-to-month,0,DSL,Mailed check
No,27,89.2,Month-to-month,0,Fiber optic,Electronic check
No,72,24.05,Two year,0,No,Bank transfer (automatic)
Yes,1,69.55,Month-to-month,0,Fiber optic,Electronic check
No,30,55.65,Two year,0,DSL,Mailed check
No,65,94.55,Two year,0,Fiber optic,Credit card (automatic)
No,61,19.75,Two year,0,No,Credit card (automatic)
No,62,89.1,Two year,0,Fiber optic,Credit card (automatic)
No,45,107.75,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,1,74.2,Month-to-month,1,Fiber optic,Electronic check
No,52,50.95,One year,0,DSL,Bank transfer (automatic)
No,24,20.25,One year,0,No,Mailed check
No,70,58.35,Two year,0,DSL,Bank transfer (automatic)
No,39,19.85,Two year,0,No,Bank transfer (automatic)
No,42,25.05,One year,0,No,Electronic check
No,20,68.7,One year,0,DSL,Electronic check
No,72,109.95,Two year,0,Fiber optic,Credit card (automatic)
Yes,50,103.7,Month-to-month,0,Fiber optic,Electronic check
No,13,20.85,Two year,0,No,Mailed check
No,22,85.35,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,1,50.15,Month-to-month,0,DSL,Mailed check
Yes,1,70.15,Month-to-month,1,Fiber optic,Electronic check
No,7,50.3,Month-to-month,0,DSL,Bank transfer (automatic)
No,8,60.0,Month-to-month,0,DSL,Electronic check
No,8,20.35,Month-to-month,0,No,Mailed check
No,64,24.8,Two year,0,No,Mailed check
No,22,65.05,Month-to-month,0,DSL,Mailed check
No,26,50.35,Month-to-month,0,DSL,Credit card (automatic)
Yes,1,70.0,Month-to-month,0,Fiber optic,Electronic check
No,31,93.8,One year,0,Fiber optic,Electronic check
No,4,20.05,Month-to-month,1,No,Mailed check
No,48,20.65,Two year,0,No,Bank transfer (automatic)
Yes,40,39.3,Month-to-month,1,DSL,Electronic check
No,71,66.8,One year,0,DSL,Bank transfer (automatic)
No,36,75.55,One year,0,DSL,Mailed check
No,1,74.6,Month-to-month,0,Fiber optic,Credit card (automatic)
Yes,41,98.4,Month-to-month,1,Fiber optic,Electronic check
No,21,20.5,Month-to-month,0,No,Credit card (automatic)
Yes,11,74.35,Month-to-month,0,Fiber optic,Electronic check
,19,103.3,Month-to-month,0,Fiber optic,Electronic check
No,58,79.8,Month-to-month,0,Fiber optic,Bank transfer (automatic)
Yes,12,80.85,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,29,20.35,One year,0,No,Mailed check
Yes,2,104.4,Month-to-month,0,Fiber optic,Electronic check
No,11,54.6,One year,0,DSL,Mailed check
Yes,69,89.95,Month-to-month,1,Fiber optic,Electronic check
No,64,111.6,Two year,1,Fiber optic,Bank transfer (automatic)
Yes,20,90.8,Month-to-month,1,Fiber optic,Electronic check
Yes,22,89.25,Month-to-month,0,Fiber optic,Electronic check
No,1,43.95,Month-to-month,0,DSL,Credit card (automatic)
No,64,90.6,Two year,0,DSL,Mailed check
No,39,24.2,One year,0,No,Mailed check
No,39,58.6,One year,0,DSL,Credit card (automatic)
Yes,48,106.1,One year,0,Fiber optic,Credit card (automatic)
Yes,22,89.4,Month-to-month,0,Fiber optic,Electronic check
No,24,64.35,Two year,0,DSL,Electronic check
No,1,19.5,Month-to-month,0,No,Mailed check
Yes,10,72.85,Month-to-month,1,Fiber optic,Electronic check
No,8,66.7,Month-to-month,0,DSL,Electronic check
No,36,80.4,Month-to-month,0,Fiber optic,Electronic check
Yes,1,70.5,Month-to-month,0,Fiber optic,Electronic check
No,16,19.3,One year,0,No,Bank transfer (automatic)
Yes,13,79.25,Month-to-month,0,Fiber optic,Electronic check
No,7,44.75,Month-to-month,0,DSL,Electronic check
No,41,68.6,One year,0,DSL,Electronic check
No,5,20.55,Month-to-month,0,No,Credit card (automatic)
No,55,50.05,One year,1,DSL,Bank transfer (automatic)
Yes,7,86.5,Month-to-month,0,Fiber optic,Electronic check
No,72,25.25,Two year,0,No,Bank transfer (automatic)
No,72,20.5,Two year,0,No,Credit card (automatic)
No,1,61.15,Month-to-month,0,DSL,Electronic check
No,47,40.3,One year,0,DSL,Electronic check
No,21,20.35,One year,0,No,Mailed check
No,68,95.1,Two year,0,Fiber optic,Bank transfer (automatic)
No,58,92.85,Month-to-month,0,Fiber optic,Electronic check
No,33,100.6,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,33,20.1,One year,0,No,Credit card (automatic)
Yes,1,20.15,Month-to-month,0,No,Mailed check
No,56,89.7,Month-to-month,0,Fiber optic,Mailed check
No,49,49.65,Two year,0,DSL,Credit card (automatic)
No,68,110.25,Two year,0,Fiber optic,Credit card (automatic)
No,72,98.2,Two year,0,Fiber optic,Bank transfer (automatic)
No,1,90.1,Month-to-month,0,Fiber optic,Electronic check
No,1,44.0,Month-to-month,0,DSL,Electronic check
No,67,19.65,Two year,0,No,Mailed check
No,45,113.3,One year,0,Fiber optic,Mailed check
No,72,90.6,Two year,0,DSL,Credit card (automatic)
No,10,20.1,One year,0,No,Mailed check
No,59,20.2,Two year,0,No,Bank transfer (automatic)
No,22,100.05,One year,0,Fiber optic,Mailed check
No,30,49.9,Month-to-month,0,DSL,Electronic check
No,52,79.2,Two year,0,DSL,Electronic check
No,10,95.25,Month-to-month,0,Fiber optic,Electronic check
Yes,1,45.3,Month-to-month,0,DSL,Electronic check
Yes,1,20.4,Month-to-month,0,No,Mailed check
No,20,19.7,One year,0,No,Mailed check
Yes,14,78.95,Month-to-month,1,Fiber optic,Electronic check
Yes,16,89.05,Month-to-month,0,Fiber optic,Credit card (automatic)
No,35,23.3,Two year,0,No,Bank transfer (automatic)
No,72,90.95,Two year,0,DSL,Bank transfer (automatic)
,40,19.1,Two year,0,No,Mailed check
No,65,59.8,Two year,0,DSL,Credit card (automatic)
,45,25.5,Two year,0,No,Mailed check
No,7,34.2,Month-to-month,0,DSL,Mailed check
Yes,1,46.0,Month-to-month,1,DSL,Electronic check
Yes,1,73.0,Month-to-month,1,Fiber optic,Electronic check
Yes,3,75.05,Month-to-month,1,Fiber optic,Credit card (automatic)
Yes,2,79.75,Month-to-month,0,Fiber optic,Electronic check
No,23,25.6,Two year,0,No,Credit card (automatic)
Yes,70,109.5,One year,0,Fiber optic,Electronic check
No,29,25.15,Month-to-month,0,No,Electronic check
No,43,19.65,Two year,0,No,Bank transfer (automatic)
No,18,58.4,Month-to-month,1,DSL,Credit card (automatic)
No,71,25.05,Two year,0,No,Credit card (automatic)
Yes,27,75.5,Month-to-month,1,Fiber optic,Electronic check
No,9,19.05,Month-to-month,0,No,Mailed check
No,48,70.65,Month-to-month,1,Fiber optic,Bank transfer (automatic)
No,27,19.15,One year,0,No,Mailed check
No,70,92.2,Two year,1,DSL,Bank transfer (automatic)
No,58,107.75,One year,0,Fiber optic,Electronic check
No,60,104.7,Two year,0,Fiber optic,Electronic check
No,46,108.65,Two year,0,Fiber optic,Electronic check
Yes,1,20.5,Month-to-month,0,No,Mailed check
